,loss,accuracy,val_loss,val_accuracy
0,2.7643516063690186,0.44583332538604736,2.3799140453338623,0.4539215564727783
1,1.9915772676467896,0.5975490212440491,1.8045388460159302,0.5686274766921997
2,1.4787626266479492,0.6696078181266785,1.457765817642212,0.6049019694328308
3,1.108384370803833,0.7470588088035583,1.2846282720565796,0.6333333253860474
4,0.8539777994155884,0.7987744808197021,1.142259120941162,0.634313702583313
5,0.6704629063606262,0.844362735748291,1.1903471946716309,0.6205882430076599
6,0.4849104583263397,0.8987745046615601,1.2555381059646606,0.6166666746139526
7,0.36721932888031006,0.9299019575119019,1.3643102645874023,0.615686297416687
8,0.34128326177597046,0.9291666746139526,1.241065263748169,0.6068627238273621
9,0.25071054697036743,0.9522058963775635,1.2923812866210938,0.6107842922210693
